recency,frequency,monetary
186,1,219.28
258,1,277.16
176,1,22.23
258,1,90.9
284,1,104.12
440,1,175.24
154,1,141.6
218,1,87.64
153,1,207.24
502,1,178.24
160,1,99.9
298,1,148.32
427,1,55.54
64,1,88.71
149,1,171.69
483,1,387.49
195,1,166.11
65,1,37.84
189,1,85.95
269,1,42.41
82,1,47.44
228,1,65.01
237,1,110.18
209,1,69.83
374,1,65.48
305,1,74.16
490,1,346.88
265,1,112.12
223,1,64.0
194,1,22.34
414,1,58.49
275,1,425.07
66,1,128.14
301,1,284.9
304,1,78.86
143,1,569.16
191,1,67.36
301,1,186.82
89,1,121.9
257,1,77.34
132,1,44.43
120,1,109.74
462,1,95.67
221,1,42.68
363,1,35.05
210,1,157.77
175,1,72.18
152,1,58.63
70,1,383.03
230,1,87.55
255,1,91.89
293,1,169.34
244,1,155.99
255,1,42.09
516,1,104.7
386,1,157.6
297,1,205.74
207,1,36.72
600,1,39.42
173,1,34.29
309,1,89.9
210,1,49.13
293,1,252.35
519,1,84.12
311,1,34.0
314,1,176.16
518,1,115.41
159,1,169.73
305,1,110.03
330,1,75.07
311,1,98.34
510,1,64.39
607,1,33.95
256,1,88.81
240,1,47.0
424,1,32.0
530,1,40.95
526,1,176.53
283,1,127.99
128,1,140.48
171,1,232.09
240,1,211.86
272,1,369.6
579,1,298.55
155,1,99.96
262,1,284.49
147,1,308.7
264,1,136.9
241,1,307.24
89,1,152.72
128,1,92.9
135,1,116.9
167,1,220.02
46,1,90.18
181,1,32.06
61,1,29.92
477,1,80.2
408,1,20.72
74,1,23.29
103,1,148.91
213,1,34.0
147,1,93.95
551,1,363.75
224,1,351.96
260,1,122.47
391,1,56.78
84,1,52.57
376,1,132.57
73,1,190.82
345,1,516.97
89,1,98.12
298,1,64.0
193,1,27.38
202,1,229.99
366,1,197.53
166,1,57.89
216,1,172.69
214,1,130.57
284,1,79.05
420,1,367.2
419,1,150.0
61,1,168.8
343,1,77.57
257,1,46.3
312,1,48.1
168,1,63.88
278,1,150.39
492,1,90.28
109,1,102.69
165,1,379.09
248,1,31.85
62,1,343.12
248,1,90.4
551,1,20.86
476,1,66.62
96,1,88.45
221,1,133.98
119,1,77.08
604,1,56.62
147,2,99.15
259,1,141.08
188,1,206.72
267,1,118.0
357,1,72.42
97,1,64.02
46,1,224.74
311,1,157.22
179,1,134.39
98,1,889.28
510,1,229.79
404,1,26.94
510,1,28.08
398,1,50.0
142,1,92.08
309,1,137.6
99,1,66.07
154,1,59.43
434,1,9.12
124,1,72.36
453,1,56.58
200,1,73.16
467,1,125.03
343,1,53.27
248,1,58.65
134,1,60.72
238,1,186.85
341,1,103.37
323,1,80.81
109,1,63.93
366,1,38.0
267,1,89.88
590,1,115.42
529,1,123.25
431,1,824.17
42,1,37.35
366,1,73.34
488,1,215.83
595,1,141.28
307,1,73.03
431,1,197.95
307,1,156.89
269,1,123.33
283,1,53.22
245,1,42.59
403,1,114.33
510,1,158.75
477,1,69.03
56,1,189.34
138,1,258.51
215,1,65.71
151,1,109.59
111,1,50.35
39,1,35.85
566,1,39.42
167,1,76.29
301,1,78.65
577,1,1155.56
297,1,358.04
354,1,74.06
308,1,284.9
157,1,47.23
310,1,42.41
136,1,137.4
92,1,94.74
298,1,139.09
356,1,105.37
182,1,65.0
300,1,112.43
444,1,1172.26
560,1,119.3
123,1,42.94
311,1,668.3
173,1,102.71
516,1,60.57
115,1,47.06
166,1,150.15
108,1,32.37
177,1,301.36
100,1,26.83
48,1,71.49
327,1,37.09
311,1,87.72
240,1,82.13
253,1,28.75
140,1,475.45
725,1,34.62
139,1,319.96
68,1,235.81
304,1,1425.56
307,1,120.18
156,1,9.02
507,1,5.31
118,1,38.19
121,1,116.67
303,1,42.09
313,1,33.7
80,1,101.7
47,1,34.22
232,1,55.91
297,3,3.6799999999999997
585,1,128.88
517,1,74.62
330,1,77.57
246,1,124.52
238,1,75.17
354,1,412.96
136,1,82.33
291,1,47.45
99,1,53.35
257,1,315.33
262,1,101.33
106,1,138.61
724,1,354.35
343,1,127.38
333,1,149.36
233,1,45.09
223,1,206.68
454,1,28.09
193,1,92.97
197,1,84.48
62,1,82.65
488,1,165.67
610,1,117.96
193,1,96.38
540,1,33.95
480,1,83.15
256,1,126.54
395,1,142.92
98,1,2187.42
43,1,167.58
125,1,92.5
167,1,109.5
66,1,259.36
620,1,147.21
159,1,60.22
108,1,630.28
460,1,190.81
476,1,52.38
188,3,337.84
34,1,189.32
89,1,155.06
302,1,41.85
283,1,556.01
145,1,128.14
375,1,21.09
260,1,93.26
357,1,729.3
287,1,187.34
579,1,163.16
239,1,371.59
493,1,146.04
515,1,112.37
574,1,81.72
301,1,96.83
604,1,367.2
98,1,474.99
343,1,67.3
397,1,66.82
417,1,198.95
214,1,45.0
41,1,285.98
258,1,43.1
107,1,373.37
73,1,75.4
207,1,227.58
447,1,85.14
444,1,71.62
259,1,151.32
60,1,80.4
335,1,324.82
419,1,226.24
145,1,261.16
112,1,76.87
63,1,93.19
452,1,42.84
58,1,205.3
426,1,97.76
52,1,51.12
313,1,130.57
90,1,182.81
598,1,154.54
263,1,106.87
311,1,283.06
246,1,253.8
80,1,150.56
491,1,87.8
233,1,45.25
386,1,242.33
61,1,63.89
133,1,46.39
158,1,21.39
192,1,52.72
454,1,227.62
252,1,96.01
427,1,99.22
111,1,167.28
46,2,547.74
43,1,21.69
167,1,119.62
467,1,86.73
525,1,159.47
307,1,120.18
371,1,80.0
209,1,252.0
290,1,42.27
466,1,103.5
324,1,142.33
56,1,171.43
284,1,56.69
218,1,47.67
489,1,96.9
567,1,57.08
176,1,135.84
510,1,194.0
210,1,55.69
268,1,69.73
248,1,38.71
495,1,63.18
123,1,175.9
218,1,53.19
136,1,344.23
225,1,374.25
249,1,69.71
118,1,310.11
101,1,58.39
256,1,25.78
320,1,186.85
310,1,39.09
322,1,46.69
161,1,107.35
560,1,94.63
245,1,45.09
555,1,213.5
229,1,56.85
473,1,156.18
552,1,56.92
441,1,149.04
203,1,89.91
443,1,86.73
98,1,185.39
179,1,257.75
187,1,77.97
350,1,163.06
412,1,49.09
94,1,148.98
53,1,289.89
228,1,57.59
457,1,50.0
296,1,206.5
58,1,52.24
265,1,276.26
350,1,164.43
145,1,349.1
294,1,115.35
257,1,31.38
446,1,168.29
232,1,145.96
166,1,387.57
384,1,100.91
426,1,267.27
230,1,55.6
212,1,98.61
175,1,149.72
311,1,162.15
206,1,106.58
479,1,232.94
216,1,77.67
168,1,70.75
112,1,61.14
86,1,61.38
566,1,75.62
501,1,91.19
196,1,16.87
628,1,180.81
154,1,254.94
67,1,264.82
405,1,212.61
324,1,150.69
263,1,100.0
208,1,61.43
349,1,146.12
516,1,444.13
229,1,216.15
224,1,108.29
221,1,86.73
229,1,238.02
406,1,69.05
522,1,429.17
48,1,87.42
269,1,182.29
51,1,133.92
510,1,77.66
47,1,219.43
529,1,74.54
193,1,75.25
283,1,90.5
378,1,68.65
237,1,61.79
217,1,102.0
159,1,201.85
236,1,76.08
240,1,59.85
438,1,230.74
171,1,190.09
382,1,77.57
301,1,163.25
608,1,63.65
518,1,60.54
188,1,253.52
317,1,31.68
185,1,72.39
284,1,19.42
458,1,233.78
341,1,34.09
55,1,32.42
116,1,109.56
87,1,129.53
447,1,70.0
168,1,119.73
98,1,130.05
328,1,405.35
305,1,70.92
138,1,213.44
386,1,47.99
555,1,227.57
208,1,73.77
177,1,30.21
301,1,406.16
246,1,375.26
524,1,111.85
341,1,237.47
441,1,41.14
297,1,64.1
196,1,38.28
185,1,32.38
84,1,1162.88
230,1,223.37
102,1,139.11
95,1,147.7
543,1,147.64
526,1,155.73
468,1,33.11
252,1,169.37
166,1,150.0
150,1,52.73
238,1,45.0
497,1,94.24
245,1,129.24
428,1,3.9
550,1,519.4
42,1,226.88
337,1,47.71
38,2,150.61
372,1,28.75
320,1,207.61
46,1,195.61
53,1,49.57
332,1,98.9
264,1,298.08
460,1,153.01
321,1,91.89
46,1,125.42
185,1,57.77
250,1,169.23
287,1,188.34
209,1,98.5
225,1,28.75
310,1,66.64
183,1,67.36
441,1,65.09
282,1,130.15
151,1,126.68
154,1,51.55
266,1,47.62
168,1,57.34
77,1,62.9
136,1,415.02
563,1,49.42
154,1,221.34
293,1,284.02
142,1,107.68
296,1,94.76
