"date","close","volume","open","high","low"
"2018/03/12","1445.9010","0.0000","1441.4120","1453.5010","1437.0780"
"2018/03/09","1431.1610","0.0000","1411.3570","1431.3860","1410.6710"
"2018/03/08","1402.0510","0.0000","1408.1540","1409.2450","1393.8580"
"2018/03/07","1400.4650","0.0000","1382.8200","1402.3400","1382.8200"
"2018/03/06","1396.4700","0.0000","1386.2900","1399.9900","1381.5080"
"2018/03/05","1375.8560","0.0000","1354.3270","1382.4570","1349.9130"
"2018/03/02","1363.7810","0.0000","1324.5510","1365.6560","1322.5970"
"2018/03/01","1340.1440","0.0000","1362.4460","1367.4430","1324.9680"
"2018/02/28","1362.0240","0.0000","1383.9140","1385.9320","1361.1310"
"2018/02/27","1374.7180","0.0000","1379.0120","1397.9900","1374.7170"
"2018/02/26","1380.2710","0.0000","1360.0950","1380.2710","1359.1940"
"2018/02/23","1351.0920","0.0000","1336.7240","1351.1300","1332.3440"
"2018/02/22","1322.0880","0.0000","1330.2150","1336.3370","1318.5140"
"2018/02/21","1325.3490","0.0000","1345.9690","1349.4150","1324.7860"
"2018/02/20","1341.5290","0.0000","1314.0080","1353.3600","1313.9730"
"2018/02/16","1318.3210","0.0000","1318.1560","1334.3140","1317.7310"
"2018/02/15","1322.9470","0.0000","1316.4350","1322.9930","1291.7770"
"2018/02/14","1307.0480","0.0000","1270.7040","1309.0490","1269.9150"
"2018/02/13","1278.5060","0.0000","1270.7710","1279.8810","1266.6140"
"2018/02/12","1279.1430","0.0000","1268.2900","1287.1550","1259.6430"
"2018/02/09","1255.8120","0.0000","1246.8640","1263.4080","1203.6630"
"2018/02/08","1218.6590","0.0000","1277.8420","1280.1720","1218.6590"
"2018/02/07","1272.4970","0.0000","1287.8870","1303.8340","1272.4970"
"2018/02/06","1301.6620","0.0000","1241.5740","1302.3860","1238.6380"
"2018/02/05","1255.8110","0.0000","1303.0550","1328.0720","1253.0850"
"2018/02/02","1317.9830","0.0000","1341.2740","1344.4690","1317.7860"
"2018/02/01","1355.0740","0.0000","1352.5300","1374.8730","1349.8970"
"2018/01/31","1361.5000","0.0000","1367.6440","1370.8970","1354.1300"
"2018/01/30","1350.4450","0.0000","1354.8200","1366.2780","1348.9380"
"2018/01/29","1378.4150","0.0000","1372.7180","1388.2860","1362.2160"
"2018/01/26","1381.2730","0.0000","1357.3900","1381.2850","1355.4100"
"2018/01/25","1337.6180","0.0000","1376.2410","1379.2700","1337.6180"
"2018/01/24","1360.6780","0.0000","1373.7850","1383.7170","1351.7260"
"2018/01/23","1392.8610","0.0000","1386.5900","1393.4050","1383.1770"
"2018/01/22","1382.4090","0.0000","1372.5750","1382.4090","1367.6360"
"2018/01/19","1372.0320","0.0000","1375.9440","1378.1550","1363.8820"
"2018/01/18","1370.5610","0.0000","1363.4680","1377.1710","1362.5020"
"2018/01/17","1364.2920","0.0000","1338.0720","1366.1050","1336.9720"
"2018/01/16","1325.9680","0.0000","1334.5330","1340.9560","1318.5380"
"2018/01/12","1322.1050","0.0000","1315.0310","1324.2400","1310.7750"
"2018/01/11","1314.3450","0.0000","1309.3490","1314.8370","1305.2040"
"2018/01/10","1306.2230","0.0000","1306.8330","1312.0090","1296.0960"
"2018/01/09","1322.5740","0.0000","1335.0680","1337.1140","1320.8210"
"2018/01/08","1335.5380","0.0000","1323.4500","1339.3740","1321.9700"
"2018/01/05","1325.7080","0.0000","1321.1670","1330.3100","1316.1310"
"2018/01/04","1317.2370","0.0000","1315.2650","1321.1110","1306.3710"
"2018/01/03","1309.8610","0.0000","1291.6620","1310.3700","1291.2930"
